system_length,periods,mean_price,median_price,price_stddev,price_p05,price_p95,minimum_price,maximum_price,mean_absolute_niv
Balanced,2,99.205,99.205,1.124299782086613,98.48949999999999,99.9205,98.41,100.0,0.0
Long,2340,53.0676580477353,62.28,26.13947521318442,-4.579404145836797,82.76503997137597,-30.0,122.77,214.7254127137631
Short,2076,101.23909108764651,98.72999999999999,27.245529645888677,68.60249999999999,137.49,-2.99,487.0,193.34646590085998
